,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
GE Healthcare,0.002881844380403458,0.0,0.0007507099792688171,0.14681229786504033,0.0010137333869809527
Greenoaks Capital Management,0.005763688760806916,0.00023313902266997006,0.026749891313106903,0.20403730236324039,0.0012120714579034145
58.com,0.004322766570605187,0.00010112039441979437,0.03051510657321909,0.20302275224099225,0.0010152839828143755
March Capital Partners,0.002881844380403458,0.0,0.006971612731515968,0.17557151531590823,0.0008313306560679093
Genral Atlantic,0.001440922190201729,0.0,0.0011363390207138903,0.1476974202396286,0.0005994254974034113
China Media Group,0.002881844380403458,0.0,0.003456019188489798,0.166051143947671,0.0008746418847535816
Bond,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Felicis Ventures,0.002881844380403458,0.0,0.006120950963169896,0.16864212095282052,0.0007631275356832384
Japan Post Capital,0.002881844380403458,0.0,0.005172693787442462,0.16841025735847662,0.0008416995720005666
Wanxin Media,0.002881844380403458,0.0,0.0047280785756024955,0.17252168148178215,0.0008611374056351092
Centralway,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
China Everbright Investment Management,0.002881844380403458,0.0,0.005541261314702967,0.17838406871659998,0.0008744778013103603
